French,English
histoire,history
seulement,only
police,police
genre,kind
mois,month
frère,brother
laisser,let
aucun,no
laisse,leash
ville,city
arrivé,come
bébé,baby
heures,hours
vont,will
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
étaient,were
attention,Warning
voici,here is
affaire,case
type,type
donné,given
corps,body
dont,whose
trouve,find
premier,first
première,first
pouvoir,power
vieux,old
point,point
venu,came
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
mari,husband
cause,cause
enfin,finally
eau,water
attendez,Wait
parti,left
boulot,job
arrêter,Stop
terre,Earth
compte,account
donne,given
loin,far
fin,end
chérie,sweetheart
gros,large
aura,will have
filles,girls
